,player_id,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
643,houstal01,Houston,Allan,2000,East,NBA,1,15,5.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0
644,houstal01,Houston,Allan,1999,East,NBA,1,18,11.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,10.0,3.0,4.0,4.0,3.0,1.0
645,howardw01,Howard,Dwight,2009,East,NBA,1,27,17.0,0.0,5.0,5.0,1.0,0.0,3.0,1.0,4.0,10.0,7.0,3.0,2.0,2.0,1.0
646,howardw01,Howard,Dwight,2008,East,NBA,1,28,13.0,3.0,6.0,9.0,0.0,1.0,3.0,1.0,3.0,11.0,5.0,5.0,3.0,2.0,0.0
647,howardw01,Howard,Dwight,2006,East,NBA,1,21,20.0,7.0,5.0,12.0,1.0,3.0,0.0,0.0,1.0,14.0,10.0,5.0,0.0,0.0,0.0
648,howardw01,Howard,Dwight,2007,East,NBA,1,30,16.0,5.0,4.0,9.0,3.0,3.0,1.0,1.0,4.0,7.0,7.0,3.0,2.0,0.0,0.0
649,howarjo01,Howard,Josh,2006,West,NBA,1,20,3.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0
671,ilgauzy01,Ilgauskas,Zydrunas,2002,East,NBA,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
672,ilgauzy01,Ilgauskas,Zydrunas,2004,East,NBA,1,17,12.0,3.0,4.0,7.0,1.0,0.0,2.0,1.0,2.0,8.0,5.0,2.0,2.0,0.0,0.0
677,isselda01,Issel,Dan,1972,East,ABA,1,29,14.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,14.0,6.0,2.0,2.0,0.0,0.0
678,isselda01,Issel,Dan,1973,East,ABA,1,26,21.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.0
679,isselda01,Issel,Dan,1974,East,ABA,1,20,7.0,2.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,6.0,3.0,2.0,1.0,0.0,0.0
681,iversal01,Iverson,Allen,2008,East,NBA,1,16,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
682,iversal01,Iverson,Allen,2003,East,NBA,1,23,3.0,0.0,1.0,1.0,11.0,0.0,0.0,4.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0
683,iversal01,Iverson,Allen,2002,East,NBA,1,41,35.0,3.0,2.0,5.0,7.0,5.0,0.0,6.0,2.0,23.0,13.0,9.0,8.0,3.0,1.0
684,iversal01,Iverson,Allen,2001,East,NBA,1,25,5.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,9.0,2.0,2.0,1.0,0.0,0.0
685,iversal01,Iverson,Allen,2000,East,NBA,1,27,25.0,0.0,2.0,2.0,5.0,4.0,0.0,4.0,0.0,21.0,9.0,6.0,6.0,1.0,1.0
686,iversal01,Iverson,Allen,1999,East,NBA,1,28,26.0,2.0,0.0,2.0,9.0,2.0,0.0,5.0,0.0,18.0,10.0,5.0,4.0,2.0,2.0
